review_3297391219,elise,"May 05, 2020 05:46PM",Glad you liked it! I really liked the movie 😊
review_3297391219,Alex,"May 05, 2020 06:20PM",That is it. I'm going to read this too!
review_4614409420,Teck Wu,"Apr 22, 2022 10:49AM",One of my fav books
review_3297391219,Julie,"May 05, 2020 08:11PM",Welp! Now I'm sold!
review_4614409420,Carmen,"Apr 22, 2022 11:25AM",Great review.
review_3297391219,Fayzaan,"May 06, 2020 01:26PM",Currently reading this and I can totally agree with you. This book is so good man !
review_4614409420,Barry,"Apr 28, 2022 02:11AM",Completely agree. A fabulous book and a great surprise.
review_4338670584,©hrissie ❁ [on studying hiatus till June],"Nov 15, 2021 03:08AM","Great review, Joanna! You sold it to me 😁"
review_3297391219,MYA,"May 07, 2020 03:06PM",I HAVE to read this book
review_4338670584,Chantel,"Nov 15, 2021 04:47AM","Nice review, Joanna :) Sounds like an interesting read!"
review_3297391219,Amarnath,"May 13, 2020 11:12PM","didn't expect such a one from Keigo Higashino as i have heard more of his thriller books and read only one of those, which was superb."
review_4121332755,Mahbuba,"Jul 27, 2021 12:46AM",Splendid review 💗
review_3297391219,Maple,"May 20, 2020 04:49AM",This seems REALLY intresting. Im gonna put it in my TBR. Also your youtube video's are really good :)
review_4338670584,Jen,"Nov 15, 2021 12:33PM","Wonderful review Joanne. I feel like this is one of those books I'd need to be in a very specific mood to read, much like Anxious People. Otherwise my cynical cold dead heart would be prone to finding it too saccharine. When the right mood hits though, this sounds like it would be perfect."
review_4121332755,~Rajeswari~,"Jul 27, 2021 12:47AM","You make it sound like a therapy session!Amazing review!
Eternal peace-Master Oogway🌸"
review_3297391219,Rowena,"Mar 14, 2021 03:33PM","Thanks for the recommendation, jesse. Now i got another month of sleep deprivation. Its worth it so win win for me"
review_4338670584,Yun,"Nov 15, 2021 06:18PM","Great review, Joanna! Yay glad this book gave you all the feels and you very much enjoyed! Sounds like a heartwarming story! :)"
review_4121332755,Maisha,"Jul 27, 2021 01:14AM",Beautiful review.
review_3297391219,Neha,"May 15, 2021 11:40PM",I literally came for this book coz Jesse mentioned liking it in a video I just watched
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM",@Chrissie - Thank you so much! Please let me know your thoughts if you do pick it up!
review_4121332755,chaity,"Jul 27, 2021 02:32AM","Mahbuba wrote: ""Splendid review 💗""

thank youu 💖"
review_3297391219,Curry,"Sep 17, 2021 07:18AM",JESSE I JUST FINISHED IT AND IM CRYING IT IS SO GOOD BETTER THAN I EXPECTED
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM","@Chantel - Thank you, yep it was. Its very different to my usual reads!"
review_4121332755,chaity,"Jul 27, 2021 02:33AM","~Rajeswari~ wrote: ""You make it sound like a therapy session!Amazing review!
Eternal peace-Master Oogway🌸""

anything for you bro! thank you 😊"
review_4121332755,chaity,"Jul 27, 2021 02:33AM","Maisha wrote: ""Beautiful review.""

TYSM, Maisha <3"
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:07AM",@Jen - Haha yes I need to be in a very specific mood as well! I felt like reading a touching book. Else normally I wouldnt want to risk reading a slower paced book lol!
review_4121332755,Lauren,"Jul 27, 2021 10:23AM",What book is this Japanese boy with his blue robot cat that you speak of???
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:08AM","@Yun - Thank you so much! :) Last time I had that heartwarming feeling was from Project Hail Mary, so it was nice to get that again with Namiya! :)"
review_4121332755,chaity,"Jul 27, 2021 10:45AM","Lauren wrote: ""What book is this Japanese boy with his blue robot cat that you speak of???""

not a book. i was talking about Doraemon. the japanese boy being Nobita 😅"
review_4338670584,Kay,"Nov 16, 2021 03:21AM",Amazing review! I'll keep this in mind when I want a good cry. 💕
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 17, 2021 12:46AM",Thank you so much Kay! Let me know if you do cry xD
review_4495956243,,,
review_4495956243,,,
review_4495956243,,,
review_4495956243,,,
review_4495956243,,,
review_4495956243,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4703116967,,,
review_4122257785,chaity,"Jul 23, 2021 07:29AM",AAJJSSJISWI so glad you loved it more than i did. not fair. and what a stunning and detailed review! 💖
review_4122257785,Mahbuba,"Jul 23, 2021 09:20AM",The letters were life - truer words have never been said 🥺
review_4122257785,Maisha,"Jul 25, 2021 02:56AM","Chaity wrote: ""AAJJSSJISWI so glad you loved it more than i did. not fair. and what a stunning and detailed review! 💖""

Thanks a lot Chaity.💚 Good luck for your next read."
review_4122257785,Maisha,"Jul 25, 2021 02:57AM","Mahbuba wrote: ""The letters were life - truer words have never been said 🥺""

Yeah. The whole time, my eyes were literally thirsty to read more and more letters."
review_4122257785,Cassie,"Sep 29, 2021 03:28PM",This is a great review! I can't wait to read this book now :)
review_4122257785,Maisha,"Sep 30, 2021 08:00AM","@Cassie, you should. It is a really good book. Happy reading!

Tysm. 😊"
review_4122257785,Cassie,"Sep 30, 2021 07:43PM",You're welcome!
review_4122127884,~Rajeswari~,"Jul 24, 2021 08:25AM",Lovely review!I want a Mr.Namiya in my life too!Our life would have been so easier🤦🏻‍♀️🤦🏻‍♀️
