review_4121332755,Mahbuba,"Jul 27, 2021 12:46AM",Splendid review 💗
review_3297391219,elise,"May 05, 2020 05:46PM",Glad you liked it! I really liked the movie 😊
review_4121332755,~Rajeswari~,"Jul 27, 2021 12:47AM","You make it sound like a therapy session!Amazing review!
Eternal peace-Master Oogway🌸"
review_3297391219,Alex,"May 05, 2020 06:20PM",That is it. I'm going to read this too!
review_4121332755,Maisha,"Jul 27, 2021 01:14AM",Beautiful review.
review_4338670584,©hrissie ❁ [on studying hiatus till June],"Nov 15, 2021 03:08AM","Great review, Joanna! You sold it to me 😁"
review_4614409420,Teck Wu,"Apr 22, 2022 10:49AM",One of my fav books
review_3297391219,Julie,"May 05, 2020 08:11PM",Welp! Now I'm sold!
review_4338670584,Chantel,"Nov 15, 2021 04:47AM","Nice review, Joanna :) Sounds like an interesting read!"
review_4121332755,chaity,"Jul 27, 2021 02:32AM","Mahbuba wrote: ""Splendid review 💗""

thank youu 💖"
review_4614409420,Carmen,"Apr 22, 2022 11:25AM",Great review.
review_4338670584,Jen,"Nov 15, 2021 12:33PM","Wonderful review Joanne. I feel like this is one of those books I'd need to be in a very specific mood to read, much like Anxious People. Otherwise my cynical cold dead heart would be prone to finding it too saccharine. When the right mood hits though, this sounds like it would be perfect."
review_3297391219,Fayzaan,"May 06, 2020 01:26PM",Currently reading this and I can totally agree with you. This book is so good man !
review_4121332755,chaity,"Jul 27, 2021 02:33AM","~Rajeswari~ wrote: ""You make it sound like a therapy session!Amazing review!
Eternal peace-Master Oogway🌸""

anything for you bro! thank you 😊"
review_4614409420,Barry,"Apr 28, 2022 02:11AM",Completely agree. A fabulous book and a great surprise.
review_4338670584,Yun,"Nov 15, 2021 06:18PM","Great review, Joanna! Yay glad this book gave you all the feels and you very much enjoyed! Sounds like a heartwarming story! :)"
review_3297391219,MYA,"May 07, 2020 03:06PM",I HAVE to read this book
review_4121332755,chaity,"Jul 27, 2021 02:33AM","Maisha wrote: ""Beautiful review.""

TYSM, Maisha <3"
review_3297391219,Amarnath,"May 13, 2020 11:12PM","didn't expect such a one from Keigo Higashino as i have heard more of his thriller books and read only one of those, which was superb."
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM",@Chrissie - Thank you so much! Please let me know your thoughts if you do pick it up!
review_4121332755,Lauren,"Jul 27, 2021 10:23AM",What book is this Japanese boy with his blue robot cat that you speak of???
review_3297391219,Maple,"May 20, 2020 04:49AM",This seems REALLY intresting. Im gonna put it in my TBR. Also your youtube video's are really good :)
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM","@Chantel - Thank you, yep it was. Its very different to my usual reads!"
review_4121332755,chaity,"Jul 27, 2021 10:45AM","Lauren wrote: ""What book is this Japanese boy with his blue robot cat that you speak of???""

not a book. i was talking about Doraemon. the japanese boy being Nobita 😅"
review_3297391219,Rowena,"Mar 14, 2021 03:33PM","Thanks for the recommendation, jesse. Now i got another month of sleep deprivation. Its worth it so win win for me"
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:07AM",@Jen - Haha yes I need to be in a very specific mood as well! I felt like reading a touching book. Else normally I wouldnt want to risk reading a slower paced book lol!
review_3297391219,Neha,"May 15, 2021 11:40PM",I literally came for this book coz Jesse mentioned liking it in a video I just watched
review_4338670584,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:08AM","@Yun - Thank you so much! :) Last time I had that heartwarming feeling was from Project Hail Mary, so it was nice to get that again with Namiya! :)"
